XCoordinate,YCoordinate,TimeInSeconds
103,3,8.037
177,-1,8.137
181,13,8.153
184,23,8.169
189,44,8.186
193,64,8.204
193,70,8.219
197,84,8.237
204,98,8.253
209,104,8.27
221,117,8.287
235,129,8.304
243,134,8.32
263,142,8.337
282,145,8.354
291,145,8.37
299,145,8.387
304,145,8.403
306,145,8.421
316,137,8.437
323,122,8.454
324,110,8.47
325,97,8.487
323,86,8.504
305,69,8.521
294,64,8.538
268,64,8.555
235,79,8.572
221,89,8.588
188,122,8.604
165,153,8.622
159,162,8.639
149,184,8.655
148,192,8.68
146,208,8.709
166,219,8.742
179,223,8.756
227,227,8.774
257,227,8.79
325,225,8.805
379,218,8.822
419,206,8.839
443,195,8.856
471,177,8.872
487,165,8.888
493,162,8.906
496,159,8.922
498,157,8.938
499,154,8.955
496,135,8.972
474,100,8.988
454,89,9.005
407,83,9.022
364,85,9.039
324,98,9.056
262,135,9.072
205,172,9.089
185,183,9.106
155,206,9.122
135,219,9.139
125,227,9.156
117,234,9.172
103,242,9.189
96,244,9.206
95,245,9.222
97,245,9.284
103,245,9.294
119,245,9.306
146,245,9.323
249,240,9.34
347,232,9.356
425,224,9.373
456,222,9.389
503,218,9.406
509,222,9.423
541,212,9.44
555,203,9.457
562,190,9.473
564,186,9.49
567,183,9.508
571,180,9.525
572,179,9.541
577,178,9.558
581,178,9.575
583,177,9.591
577,177,9.652
572,177,9.661
557,177,9.674
537,177,9.691
448,177,9.708
351,184,9.724
317,186,9.741
239,195,9.758
178,195,9.774
148,195,9.791
103,192,9.807
81,187,9.824
74,184,9.84
67,175,9.857
65,165,9.874
66,148,9.891
73,136,9.908
81,125,9.933
147,70,9.962
191,56,9.978
237,47,9.995
257,45,10.01
307,49,10.025
356,64,10.042
378,72,10.059
411,92,10.075
432,106,10.091
438,112,10.109
449,118,10.126
455,122,10.142
458,126,10.159
459,129,10.176
459,137,10.191
458,154,10.208
454,162,10.225
439,177,10.241
411,212,10.258
384,229,10.276
356,239,10.291
313,244,10.308
298,244,10.326
266,244,10.342
225,235,10.358
207,230,10.376
174,222,10.393
151,213,10.409
139,207,10.425
123,197,10.443
112,192,10.459
109,190,10.475
105,188,10.492
104,187,10.509
104,186,10.535
104,185,10.546
104,184,10.559
104,182,10.576
104,177,10.593
113,160,10.609
138,132,10.627
163,112,10.643
226,72,10.66
285,46,10.676
307,38,10.693
338,32,10.71
367,28,10.726
381,26,10.743
403,25,10.76
425,25,10.777
447,32,10.794
463,37,10.81
485,48,10.827
501,65,10.844
506,70,10.861
509,76,10.877
511,79,10.894
507,82,10.923
494,84,10.933
473,87,10.944
438,88,10.961
377,92,10.978
307,92,10.994
273,89,11.012
216,74,11.027
183,60,11.044
172,53,11.061
159,40,11.077
154,33,11.094
154,32,11.111
154,29,11.128
154,26,11.144
154,25,11.161
156,24,11.177
164,19,11.194
173,18,11.211
197,18,11.228
224,18,11.245
249,23,11.262
258,25,11.279
274,28,11.294
285,30,11.311
298,34,11.328
323,39,11.344
339,40,11.361
344,40,11.378
349,42,11.394
358,44,11.411
361,44,11.428
363,44,11.445
361,43,11.495
344,38,11.511
331,37,11.528
291,37,11.545
224,44,11.562
146,65,11.578
115,78,11.595
63,104,11.611
43,113,11.629
22,125,11.645
9,137,11.662
7,145,11.678
6,147,11.696
6,154,11.712
6,167,11.729
5,180,11.745
5,183,11.762
5,203,11.779
6,214,11.795
11,232,11.813
12,240,11.829
13,243,11.846
15,240,11.97
22,236,11.981
57,220,11.998
92,203,12.016
173,184,12.03
244,176,12.047
263,175,12.064
308,168,12.08
344,165,12.097
371,150,12.114
407,126,12.13
423,110,12.147
426,107,12.164
428,105,12.18
429,103,12.197
429,102,12.214
428,102,12.231
403,95,12.247
322,86,12.264
275,82,12.28
186,86,12.297
123,95,12.314
87,100,12.331
42,108,12.347
3,119,12.364
21,156,12.564
71,165,12.582
